date;open;close;adjClose;high;low;volume
14.09.2012;147800;32.680004;163400;166000;142550;1500
17.09.2012;169650;32.170002;160850;169750;160500;1100
18.09.2012;162850;30.51;152550;166050;151300;1100
19.09.2012;147150;30.34;151700;153650;145950;1400
20.09.2012;154350;29.75;148750;159400;148500;1400
21.09.2012;148950;29.26;146300;151600;142500;1200
24.09.2012;149950;28.450001;142250;151400;140100;1200
25.09.2012;139250;32.889999;164450;165000;139200;1700
26.09.2012;170600;35.370003;176850;184350;166050;2100
27.09.2012;166050;29.15;145750;171500;145150;1400
28.09.2012;152700;30.920002;154600;157400;145500;1100
01.10.2012;147150;31.550001;157750;159800;139250;1300
02.10.2012;153500;30.220001;151100;162400;150400;1100
03.10.2012;151900;30.01;150050;158950;146500;1200
04.10.2012;147750;28.639999;143200;149850;143000;1000
05.10.2012;134300;27.780003;138900;142650;131000;1500
08.10.2012;143050;28.460001;142300;145200;139500;700
09.10.2012;142750;30.820002;154100;155800;141300;1500
10.10.2012;151250;30.15;150750;158000;148900;1300
11.10.2012;146350;29.380003;146900;148950;142650;1200
12.10.2012;142150;29.789999;148950;151250;139300;1400
15.10.2012;146800;27.789999;138950;153050;138000;1200
16.10.2012;134000;26.49;132450;136350;131100;1300
17.10.2012;132400;25.800001;129000;135000;127500;1100
18.10.2012;130550;25.630003;128150;132200;125200;1700
19.10.2012;130600;28.960001;144800;147550;130300;2000
22.10.2012;143900;28.24;141200;152650;140800;1600
23.10.2012;156800;32.650002;163250;167100;155000;1700
24.10.2012;157900;32.950001;164750;167100;156850;1400
25.10.2012;153300;31.1;155500;163950;151650;1600
26.10.2012;155700;30.930002;154650;163350;150250;1300
31.10.2012;148700;32.070004;160350;164100;148100;900
01.11.2012;157500;26.9;134500;158250;134500;1500
02.11.2012;130600;28.180002;140900;142200;129700;1800
05.11.2012;144550;29.170002;145850;153400;142800;1300
06.11.2012;143500;27;135000;146550;132000;1500
07.11.2012;142000;31.34;156700;160500;140050;2400
08.11.2012;156000;31.720001;158600;160500;148500;1700
09.11.2012;161800;31.700001;158500;162450;148600;1400
12.11.2012;154350;27.6;138000;154650;137050;1600
13.11.2012;144250;27.660002;138300;146000;131250;1900
14.11.2012;130700;29.410002;147050;151900;129700;2200
15.11.2012;147100;30.050001;150250;159650;141850;2100
16.11.2012;146750;27.370001;136850;157400;136100;2100
19.11.2012;126700;22.640001;113200;127250;112950;2000
20.11.2012;110150;21.75;108750;113900;108300;1600
21.11.2012;108050;22.050001;110250;112250;104600;1000
23.11.2012;105200;20.200001;101000;107050;100900;700
26.11.2012;104550;19.780001;98900;105850;98850;1400
27.11.2012;97800;20.560001;102800;103650;96100;2000
28.11.2012;106750;19.469999;97350;111000;96650;2500
29.11.2012;94350;18.910002;94550;99000;93500;1900
30.11.2012;92950;19.57;97850;99950;92900;1400
03.12.2012;93050;20.360001;101800;102500;92800;1700
04.12.2012;103300;21.07;105350;108400;100350;1800
05.12.2012;105350;20.410002;102050;110300;100700;1600
06.12.2012;101650;20.800001;104000;105800;100950;1300
07.12.2012;100650;19.380001;96900;105500;96400;1300
10.12.2012;98550;19.880001;99400;101100;97300;800
11.12.2012;96750;18.540001;92700;98200;92700;1700
12.12.2012;92000;19.460001;97300;97750;91000;1700
13.12.2012;96900;20.17;100850;104000;95850;1600
14.12.2012;101850;20.460001;102300;104900;100700;1300
17.12.2012;103000;19.050001;95250;103250;95000;1300
18.12.2012;92150;17.6;88000;93100;86700;1800
19.12.2012;87850;19.630001;98150;98400;87800;2200
20.12.2012;97550;20.57;102850;104100;96200;1600
21.12.2012;119850;23.280001;116400;120550;112950;2600
24.12.2012;113150;22.550001;112750;115900;112050;700
26.12.2012;116750;25.07;125350;125750;116050;1300
27.12.2012;124750;25.030001;125150;141400;122100;3000
28.12.2012;133250;27.539999;137700;139500;126650;2300
31.12.2012;143100;20.9;104500;146000;101250;2700
02.01.2013;83600;16.07;80350;89200;80100;2500
03.01.2013;80500;15.93;79650;82250;77050;2600
04.01.2013;79600;15.3;76500;80350;75850;2300
07.01.2013;78500;15.27;76350;79750;75750;2100
08.01.2013;75550;14.960001;74800;78200;74200;2300
09.01.2013;72350;14.98;74900;76300;72000;1700
10.01.2013;72200;14.27;71350;74400;71100;2000
11.01.2013;71500;14.160001;70800;73250;70650;1600
14.01.2013;70450;13.73;68650;71600;67850;2100
15.01.2013;70200;13.67;68350;70650;67200;1800
16.01.2013;67350;13.12;65600;68050;64200;2100
17.01.2013;63750;13.25;66250;66300;63300;1800
18.01.2013;65000;11.56;57800;65800;57200;3300
22.01.2013;57900;10.870001;54350;60000;53850;2000
23.01.2013;54300;10.29;51450;54700;50900;2500
24.01.2013;52100;10.38;51900;57950;50500;4000
25.01.2013;52300;10.56;52800;54800;51000;3100
