UVXY
date;open;high;low;close;volume;adjClose
06.06.2012;966000;982500;880000;17,65;100;882500
07.06.2012;801000;873000;792000;17,18;200;859000
08.06.2012;872000;880000;766500;15,410001;200;770500
11.06.2012;711500;898500;703500;17,85;200;892500
12.06.2012;877000;940500;848000;17,210001;300;860500
13.06.2012;902500;975000;853000;18,92;300;946000
14.06.2012;933500;962500;827500;16,630001;300;831500
15.06.2012;813500;837000;740000;15,18;200;759000
18.06.2012;748000;762500;631000;12,64;300;632000
19.06.2012;586000;623000;580000;12,09;300;604500
20.06.2012;604500;650000;552500;11,05;500;552500
21.06.2012;555000;673500;541000;13,45;400;672500
22.06.2012;623500;647000;526500;10,690001;400;534500
25.06.2012;617000;645000;609000;12,6;300;630000
26.06.2012;595500;644500;579000;11,870001;300;593500
27.06.2012;577000;605500;560000;12,080001;300;604000
28.06.2012;616500;639000;565000;11,36;400;568000
29.06.2012;502000;517500;488000;9,84;300;492000
02.07.2012;472500;482000;426000;8,55;300;427500
03.07.2012;421500;422000;395000;8,16;100;408000
05.07.2012;413000;446500;413000;8,740001;300;437000
06.07.2012;461000;463000;425500;8,580001;300;429000
09.07.2012;422500;442500;411000;8,38;200;419000
10.07.2012;407500;459000;395000;8,86;400;443000
11.07.2012;441000;455500;406000;8,26;400;413000
12.07.2012;435000;453500;402000;8,420001;400;421000
13.07.2012;409500;410500;375000;7,52;300;376000
16.07.2012;372500;380500;356500;7,3;200;365000
17.07.2012;352500;373000;333000;6,74;400;337000
18.07.2012;341500;349500;326500;6,89;300;344500
19.07.2012;340000;355500;328500;6,570001;300;328500
20.07.2012;348500;369500;339500;7,25;300;362500
23.07.2012;421500;446000;397000;8,190001;500;409500
24.07.2012;411000;470500;408500;8,86;500;443000
25.07.2012;439500;472000;417500;8,64;500;432000
26.07.2012;379500;397000;365500;7,33;300;366500
27.07.2012;335000;355000;333000;6,9;300;345000
30.07.2012;340500;361000;331500;7,2;300;360000
31.07.2012;374000;381500;359000;7,56;300;378000
01.08.2012;365000;381000;354000;7,27;500;363500
02.08.2012;381500;389500;347000;6,94;500;347000
03.08.2012;321500;325000;300500;6,02;300;301000
06.08.2012;291000;294000;278500;5,72;200;286000
07.08.2012;276500;301500;273000;6,02;200;301000
08.08.2012;298500;303500;275000;5,51;300;275500
09.08.2012;280000;285000;267000;5,460001;200;273000
10.08.2012;279000;282500;263000;5,27;200;263500
13.08.2012;266000;267000;249000;4,99;200;249500
14.08.2012;253000;278000;250000;5,54;300;277000
15.08.2012;278000;281000;264000;5,55;200;277500
16.08.2012;276000;285000;266000;5,33;200;266500
17.08.2012;261000;268500;247500;5,03;300;251500
20.08.2012;256000;264500;251000;5,05;200;252500
21.08.2012;245500;270000;243500;5,29;400;264500
22.08.2012;274000;280000;263000;5,38;400;269000
23.08.2012;272000;287500;270500;5,61;400;280500
24.08.2012;287000;288500;253500;5,15;300;257500
27.08.2012;253500;263000;249000;5,24;200;262000
28.08.2012;269000;272500;261500;5,42;300;271000
29.08.2012;269500;274000;259000;5,47;200;273500
30.08.2012;285500;290500;277500;5,7;300;285000
31.08.2012;275000;288000;262500;5,3;400;265000
04.09.2012;268500;277000;260500;5,23;200;261500
05.09.2012;259500;262000;245000;4,95;300;247500
06.09.2012;236500;237500;196000;3,92;0;196000
07.09.2012;188500;189950;173050;34,720001;700;173600
10.09.2012;179700;194450;168250;38,630001;1000;193150
11.09.2012;191750;196700;181350;38,060001;1400;190300
12.09.2012;182300;192400;177100;35,900002;1400;179500
13.09.2012;179800;185950;151150;30,700001;1600;153500
14.09.2012;147800;166000;142550;32,680004;1500;163400
17.09.2012;169650;169750;160500;32,170002;1100;160850
18.09.2012;162850;166050;151300;30,51;1100;152550
19.09.2012;147150;153650;145950;30,34;1400;151700
20.09.2012;154350;159400;148500;29,75;1400;148750
21.09.2012;148950;151600;142500;29,26;1200;146300
24.09.2012;149950;151400;140100;28,450001;1200;142250
25.09.2012;139250;165000;139200;32,889999;1700;164450
26.09.2012;170600;184350;166050;35,370003;2100;176850
27.09.2012;166050;171500;145150;29,15;1400;145750
